Stock1,Stock2
2.79,2.28
9.27,8.16
-2.56,0.79
5.09,4.17
-5.02,-1.42
2.8,0.17
-3.43,-4.23
-3.91,-10.76
5.93,2.97
7.05,5.98
7.44,3.57
3.12,1.76
-0.6,1.89
3.51,1.77
-6.1,-3.68
-4.39,1.78
-2.26,-0.2
-3.56,-4.88
0.62,1.28
-4.06,2.58
0.68,-0.96
-8.5,-4.66
-4.29,-0.81
1.82,2.1
3.27,3.5
2.89,0.97
8.35,4.82
5.74,3.39
-3.41,-3.64
0.62,-0.61
-3.05,7.03
-9.98,-8.16
-4.9,-4.68
0.67,-0.41
-0.82,0.46
-5.14,1.09
4.5,4.01
0.2,-0.2
-1.42,-2.22
-7.7,-3.5
3.57,1.99
-1.43,-3.44
-1.4,-1.12
1.05,1.39
3.72,2.64
-6.29,-1.91
-0.15,-0.61
6.58,4.35
-3.61,-3.19
-9.32,-5.9
-2.36,0.64
-1.14,0.44
4.15,3.17
1.66,0.81
-0.59,-1.47
4.66,6.63
-1.38,0.84
1.12,0.37
2.07,3.5
-1.84,1.55
-5.19,-6.16
-1.61,-0.73
-2.81,-4.94
1.42,1.22
7.69,8.5
8.34,4.37
0.27,-4.32
-11.59,-11.78
5.6,3.68
3.36,3.45
-0.07,-8.42
-2.47,-4.35
5.4,3.07
0.07,-2.39
1.55,0.4
4.24,5.22
-3.16,-0.24
-2.79,-0.52
-6.82,-6.05
-8.1,-6.4
-3,-2.59
2.95,2.55
4.08,4.38
-2.89,-2.52
1.22,0.26
3.05,3.23
-5.01,-6.21
-4.72,-6.62
-1.93,-1.81
2.16,-1.31
0.73,5.28
-8.68,-6.46
-0.07,-0.33
-1.5,-1.97
-7.47,-7.96
2.72,0.4
1.55,0.38
3.3,2.8
-1.23,-4.61
5.54,3.27
-4.87,-3.92
-1.86,6.36
2.29,-3.48
-3.17,-2.73
2.54,1.75
-1.78,-0.78
0.18,0.24
-2.18,-1.26
1.29,2.17
0.65,-4.11
-2.09,-3.65
-4.56,-4.69
-1.47,-1.37
1.9,-3.46
-0.05,-2.35
-8.35,-3.66
0.27,1.79
0.56,-0.41
7.69,5.25
-0.11,-3.82
-2.96,-1.92
-2.67,-1.65
-3.06,-3.48
-3.37,2.08
-1.15,-1.97
-4.61,0.37
-5.2,-11.39
-2.34,-0.48
-9.32,-8.3
-0.69,-0.07
0.54,-1.36
-1.89,-0.76
-3.31,-3.96
2.99,0.86
0.13,0.37
-5.39,-3.73
-10.48,-8.02
3.72,9.73
5.83,2.31
1.1,-0.5
4.97,3.96
7.85,3.15
-4.79,-3.99
5.02,2.62
2.73,5.45
8.14,5.84
0.31,0.05
-2.88,-3.44
-3.67,-0.64
2.62,1.49
1.92,-2.54
-0.24,-3.36
1.63,-0.79
-3.51,-0.62
6.68,3.6
3.29,2.34
10.16,6.58
-2.71,0.77
-4.43,-2.88
2.99,3.45
3.14,3.06
2.14,1.98
-5.09,-7.73
3.02,2.64
14.41,11.39
-8.06,-5.34
11.09,10.11
4.87,5.87
-4.65,-3.82
-10.23,-6.05
-0.71,-0.34
0.13,2.59
-7.21,-5.12
10.07,8.09
5.17,6.47
-4.24,-3.65
-3.47,-2.52
4.55,1.38
-14.16,-5.75
-5.39,-1.72
-5.82,-2.53
5.51,4.24
19.57,13.9
-15.47,-9.96
-10.04,-8.39
0.1,2.48
-6.44,-6.33
-1.36,-2.17
10.12,5.61
-6.04,-8.9
-4.64,-2.24
-0.1,-1.79
-7.76,-6.85
-11.36,-10.88
-4.06,-3.68
-5.53,-3.53
-1.08,-3.26
-10.01,-8.69
-3.48,-2.62
-4.1,-3.38
4.7,3.13
14.11,8.91
-6.75,-1.37
14.16,14.4
-0.81,-1.11
-2.12,-1.43
-2.58,-2.2
-4.79,-1.71
-6.26,-4.81
2.74,2.9
-4.28,-4.2
-9.75,-6.41
-0.31,-0.32
3.22,5.6
-1.17,-2.48
0.32,0.56
5.42,2.31
-2.02,-0.01
0.01,1.1
-7.22,-5.1
